title,url,description,category,difficulty,rating,provider,resource_type,skills,field_tags,search_text
A Blueprint for Success – Your Video Pre-Production,https://www.coursera.org/learn/a-blueprint-for-success-your-video-pre-production,"In this course, we will learn about pre-production, which requires levels of planning before you ever pick up a camera. We will share with you the terminology used widely in production work, along with our ideas for affordable camera gear and editing applications. We’ll also discuss strategies to help you generate story ideas and the focus, find characters, write treatments and scripts, draw storyboards, and even pointers on how to pitch your stories.",Personal Development,Unknown,,Coursera,Course,"Video Editing, Linear Editing, Video Production, video pre-production","Personal Development, Career Development",a blueprint for success your video pre-production in this course we will learn about pre-production which requires levels of planning before you ever pick up a camera. we will share with you the terminology used widely in production work along with our ideas for affordable camera gear and editing applications. we ll also discuss strategies to help you generate story ideas and the focus find characters write treatments and scripts draw storyboards and even pointers on how to pitch your stories. personal development unknown coursera course video editing linear editing video production video pre-production personal development career development
A Complete Reinforcement Learning System (Capstone),https://www.coursera.org/learn/complete-reinforcement-learning-system?specialization=reinforcement-learning,"In this final course, you will put together your knowledge from Courses 1, 2 and 3 to implement a complete RL solution to a problem. This capstone will let you see how each component---problem formulation, algorithm selection, parameter selection and representation design---fits together into a complete solution, and how to make appropriate choices when deploying RL in the real world. This project will require you to implement both the environment to stimulate your problem, and a control agent with Neural Network function approximation. In addition, you will conduct a scientific study of your learning system to develop your ability to assess the robustness of RL agents. To use RL in the real world, it is critical to (a) appropriately formalize the problem as an MDP, (b) select appropriate algorithms, (c ) identify what choices in your implementation will have large impacts on performance and (d) validate the expected behaviour of your algorithms. This capstone is valuable for anyone who is planning on using RL to solve real problems.",Data Science,Unknown,4.7,Coursera,Course,"Artificial Intelligence (AI), Machine Learning, Reinforcement Learning, Function Approximation, Intelligent Systems","Data Science, Computer Science, Mathematics, Statistics",a complete reinforcement learning system capstone in this final course you will put together your knowledge from courses 1 2 and 3 to implement a complete rl solution to a problem. this capstone will let you see how each component---problem formulation algorithm selection parameter selection and representation design---fits together into a complete solution and how to make appropriate choices when deploying rl in the real world. this project will require you to implement both the environment to stimulate your problem and a control agent with neural network function approximation. in addition you will conduct a scientific study of your learning system to develop your ability to assess the robustness of rl agents. to use rl in the real world it is critical to a appropriately formalize the problem as an mdp b select appropriate algorithms c identify what choices in your implementation will have large impacts on performance and d validate the expected behaviour of your algorithms. this capstone is valuable for anyone who is planning on using rl to solve real problems. data science unknown coursera course artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems data science computer science mathematics statistics
A Technical Leader's Qualities and Effectiveness,https://www.coursera.org/learn/a-technical-leaders-qualities-and-effectiveness?specialization=principles-of-leadership-leading-technical-teams,"This course describes the traits of Great Leaders who combine fierce resolve with personal humility. Indeed, they might be described more as “plow horses” as opposed to “show horses”. They see themselves as servants to the team and to the organization. They “hold the line” when faced with tough decisions and “do what must be done” when the time comes. Their leadership is based on solid ethical principles and they act with quiet, calm determination.",Personal Development,Unknown,,Coursera,Course,"Collaboration, Managing Stakeholders, Resilience, Relationships, Negotiation","Personal Development, Career Development",a technical leader s qualities and effectiveness this course describes the traits of great leaders who combine fierce resolve with personal humility. indeed they might be described more as plow horses as opposed to show horses . they see themselves as servants to the team and to the organization. they hold the line when faced with tough decisions and do what must be done when the time comes. their leadership is based on solid ethical principles and they act with quiet calm determination. personal development unknown coursera course collaboration managing stakeholders resilience relationships negotiation personal development career development
A Tour of Google Cloud Hands-on Labs,https://www.coursera.org/learn/googlecloud-a-tour-of-google-cloud-hands-on-labs-5s3nf?specialization=google-cloud-database-engineer,Learn how to use the Google Cloud Navigation menu to identify types of Google Cloud services,Information Technology,Unknown,4.7,Coursera,Project,"Cloud Platforms, Cloud Storage, Google Cloud Platform","Information Technology, Computer Science, Cybersecurity",a tour of google cloud hands-on labs learn how to use the google cloud navigation menu to identify types of google cloud services information technology unknown coursera project cloud platforms cloud storage google cloud platform information technology computer science cybersecurity
Academic English: Writing Specialization,https://www.coursera.org/specializations/academic-english,Transform Your Writing Skills. Prepare for college-level writing and research in just four courses.,Social Sciences,Unknown,4.8,Coursera,Specialization,"Punctuation, Essay Writing, Academic Writing, Writing, English Grammar, Grammar, Creative Writing","Social Sciences, Psychology, Sociology",academic english writing specialization transform your writing skills. prepare for college-level writing and research in just four courses. social sciences unknown coursera specialization punctuation essay writing academic writing writing english grammar grammar creative writing social sciences psychology sociology
Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals,Data Structures and Algorithms in C++. Learn fundamentals of computer science while implementing efficient data structures in C++.,Computer Science,Unknown,4.7,Coursera,Specialization,"Run-time Analysis, Algorithms, Hash Table, Trees (Data Structures), Object-Oriented Programming (OOP)","Computer Science, Software Engineering, Information Technology",accelerated computer science fundamentals specialization data structures and algorithms in c++. learn fundamentals of computer science while implementing efficient data structures in c++. computer science unknown coursera specialization run-time analysis algorithms hash table trees data structures object-oriented programming oop computer science software engineering information technology
Access Control Concepts,https://www.coursera.org/learn/access-control-concepts?specialization=certified-in-cybersecurity,"Welcome to course 3 of 5 of this Specialization, Access Control Concepts.",Information Technology,Unknown,4.8,Coursera,Course,"Logical Controls, administrative controls, Physical Controls","Information Technology, Computer Science, Cybersecurity",access control concepts welcome to course 3 of 5 of this specialization access control concepts. information technology unknown coursera course logical controls administrative controls physical controls information technology computer science cybersecurity
Account Management & Sales Force Design,https://www.coursera.org/learn/account-management?specialization=sales-operations,"The first course in the Sales Operations/Management Specialization, Account Management & Salesforce Design aims to introduce learners to a variety of sales methods. Students will gain knowledge on steps in strategic planning and sales management, responsibilities of a sales manager, kinds of sales operations, a recap of the personal selling process, and the concept of a buying center.",Business,Unknown,4.5,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",account management & sales force design the first course in the sales operations management specialization account management & salesforce design aims to introduce learners to a variety of sales methods. students will gain knowledge on steps in strategic planning and sales management responsibilities of a sales manager kinds of sales operations a recap of the personal selling process and the concept of a buying center. business unknown coursera course business management marketing entrepreneurship
Accounting Analysis I: Measurement and Disclosure of Assets,https://www.coursera.org/learn/asset-measurement-disclosure?specialization=financial-reporting,**NOTE: You should complete the Accounting Analysis I: The Role of Accounting as an Information System course or be familiar with the concepts taught there before beginning this course.**,Business,Unknown,4.8,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting analysis i measurement and disclosure of assets note you should complete the accounting analysis i the role of accounting as an information system course or be familiar with the concepts taught there before beginning this course. business unknown coursera course business management marketing entrepreneurship
Accounting Analysis I: The Role of Accounting as an Information System,https://www.coursera.org/learn/accounting-information-system?specialization=financial-reporting,"This course is the first course in a five-course Financial Reporting Specialization that covers the collection, processing, and communication of accounting information (via financial reports) about economic entities to interested parties (i.e., managers and external stakeholders such as stockholders and creditors). To gain the most relevant knowledge from these courses, learners should have taken a basic accounting course prior to this Specialization (which can be done through Coursera courses, such as any accounting course from the Fundamentals of Accounting Specialization: https://www.coursera.org/specializations/accounting-fundamentals). This Specialization focuses on accounting concepts, principles and theory with an emphasis on problems that arise in applying these concepts for external reporting purposes. Specific emphasis is placed on measurement of assets, liabilities, equities and income, as well as disclosure of additional information that may assist users understand the financial reports.",Business,Unknown,4.8,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting analysis i the role of accounting as an information system this course is the first course in a five-course financial reporting specialization that covers the collection processing and communication of accounting information via financial reports about economic entities to interested parties i.e. managers and external stakeholders such as stockholders and creditors . to gain the most relevant knowledge from these courses learners should have taken a basic accounting course prior to this specialization which can be done through coursera courses such as any accounting course from the fundamentals of accounting specialization https www.coursera.org specializations accounting-fundamentals . this specialization focuses on accounting concepts principles and theory with an emphasis on problems that arise in applying these concepts for external reporting purposes. specific emphasis is placed on measurement of assets liabilities equities and income as well as disclosure of additional information that may assist users understand the financial reports. business unknown coursera course business management marketing entrepreneurship
Accounting Analysis II: Accounting for Liabilities and Equity,https://www.coursera.org/learn/accounting-analysis-2-equity?specialization=financial-reporting,"This course is the fourth course in a five-course Financial Reporting Specialization. This course focuses on the recognition, measurement and subsequent accounting for equity, pensions, share-based compensation and cash flows utilizing the FASB Accounting Standards Codification and other resources.",Business,Unknown,4.7,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting analysis ii accounting for liabilities and equity this course is the fourth course in a five-course financial reporting specialization. this course focuses on the recognition measurement and subsequent accounting for equity pensions share-based compensation and cash flows utilizing the fasb accounting standards codification and other resources. business unknown coursera course business management marketing entrepreneurship
Accounting Analysis II: Measurement and Disclosure of Liabilities,https://www.coursera.org/learn/accounting-analysis-2-liabilities?specialization=financial-reporting,"This course is the third course in the five-course Financial Reporting Specialization. This course begins with a discussion of current liabilities and contingencies and continues with long-term debt and bonds. The course next explores accounting model for leases, both lessees and lessors, and a discussion on deferred tax assets and liabilities. Participants will learn the latest accounting standards including the new accounting model for leases effective for public companies in 2019 and private companies in 2020.",Business,Unknown,4.6,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting analysis ii measurement and disclosure of liabilities this course is the third course in the five-course financial reporting specialization. this course begins with a discussion of current liabilities and contingencies and continues with long-term debt and bonds. the course next explores accounting model for leases both lessees and lessors and a discussion on deferred tax assets and liabilities. participants will learn the latest accounting standards including the new accounting model for leases effective for public companies in 2019 and private companies in 2020. business unknown coursera course business management marketing entrepreneurship
Accounting Data Analytics Specialization,https://www.coursera.org/specializations/accounting-data-analytics,"Develop Data Analytics Skills for Accountants. This specialization develops students’ skills of data preparation, data visualization, data analysis, data interpretation, and machine learning algorithms and their applications to real-world problems.",Data Science,Unknown,4.6,Coursera,Specialization,"Machine Learning, Python Programming, Data Visualization (DataViz), Data Preparation, Exploratory Data Analysis, Data Analysis, Predictive Analytics, Data Architecture, Coding, Linear Regression, SQL, Text Analysis","Data Science, Computer Science, Mathematics, Statistics",accounting data analytics specialization develop data analytics skills for accountants. this specialization develops students skills of data preparation data visualization data analysis data interpretation and machine learning algorithms and their applications to real-world problems. data science unknown coursera specialization machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis data science computer science mathematics statistics
Accounting Data Analytics with Python,https://www.coursera.org/learn/accounting-data-analytics-python?specialization=accounting-data-analytics,"This course focuses on developing Python skills for assembling business data. It will cover some of the same material from Introduction to Accounting Data Analytics and Visualization, but in a more general purpose programming environment (Jupyter Notebook for Python), rather than in Excel and the Visual Basic Editor. These concepts are taught within the context of one or more accounting data domains (e.g., financial statement data from EDGAR, stock data, loan data, point-of-sale data).",Data Science,Unknown,4.3,Coursera,Course,"Python Programming, Data Visualization (DataViz), Linear Regression, SQL, Data Preparation","Data Science, Computer Science, Mathematics, Statistics",accounting data analytics with python this course focuses on developing python skills for assembling business data. it will cover some of the same material from introduction to accounting data analytics and visualization but in a more general purpose programming environment jupyter notebook for python rather than in excel and the visual basic editor. these concepts are taught within the context of one or more accounting data domains e.g. financial statement data from edgar stock data loan data point-of-sale data . data science unknown coursera course python programming data visualization dataviz linear regression sql data preparation data science computer science mathematics statistics
Accounting for Business Decision Making: Measurement and Operational Decisions,https://www.coursera.org/learn/business-accounting?specialization=accounting-fundamentals,"Accounting information is the lifeblood of the organization as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. Organizations benefit from three decision-oriented roles of accounting: measurement, control, and communication.",Business,Unknown,3.9,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting for business decision making measurement and operational decisions accounting information is the lifeblood of the organization as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. organizations benefit from three decision-oriented roles of accounting measurement control and communication. business unknown coursera course business management marketing entrepreneurship
Accounting for Business Decision Making: Strategy Assessment and Control,https://www.coursera.org/learn/business-assessment?specialization=accounting-fundamentals,"Accounting information is the lifeblood of the organization, as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. Organizations benefit from three decision-oriented roles of accounting: measurement, control, and communication.",Business,Unknown,4.0,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting for business decision making strategy assessment and control accounting information is the lifeblood of the organization as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. organizations benefit from three decision-oriented roles of accounting measurement control and communication. business unknown coursera course business management marketing entrepreneurship
Accounting for Mergers and Acquisitions: Advanced Topics,https://www.coursera.org/learn/accounting-for-ma-2?specialization=mergersandacquisitions,"This course aims at assisting you in interpreting financial accounting information related to advanced issues in inter-corporate investments. The course will cover four main topics over four modules: (i) accounting for spinoffs and equity carveouts, (ii) accounting for leveraged buyouts and recapitalizations, (iii) tax considerations in inter-corporate investments, and (iv) financial statement analysis in the presence of inter-corporate investments.",Business,Unknown,,Coursera,Course,"Mergers And Acquisitions (M&A), Taxes, Financial Statement, Accounting, Corporate Accouting","Business, Management, Marketing, Entrepreneurship",accounting for mergers and acquisitions advanced topics this course aims at assisting you in interpreting financial accounting information related to advanced issues in inter-corporate investments. the course will cover four main topics over four modules i accounting for spinoffs and equity carveouts ii accounting for leveraged buyouts and recapitalizations iii tax considerations in inter-corporate investments and iv financial statement analysis in the presence of inter-corporate investments. business unknown coursera course mergers and acquisitions m&a taxes financial statement accounting corporate accouting business management marketing entrepreneurship
Accounting for Mergers and Acquisitions: Foundations,https://www.coursera.org/learn/accounting-for-ma-1?specialization=mergersandacquisitions,"This course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. The course will cover three main topics over four modules: (i) accounting for passive, significant influence, and control type of inter-corporate investments, (ii) special issues and considerations in inter-corporate investments, and (iii) special types of inter-corporate investments.",Business,Unknown,,Coursera,Course,,"Business, Management, Marketing, Entrepreneurship",accounting for mergers and acquisitions foundations this course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. the course will cover three main topics over four modules i accounting for passive significant influence and control type of inter-corporate investments ii special issues and considerations in inter-corporate investments and iii special types of inter-corporate investments. business unknown coursera course business management marketing entrepreneurship
Accounting: Principles of Financial Accounting,https://www.coursera.org/learn/financial-accounting,"Financial Accounting is often called the language of business; it is the language that managers use to communicate the firm's financial and economic information to external parties such as shareholders and creditors. Nobody working in business can afford financial illiteracy. Whether you run your own business, work as a manager or are just starting your career, you want to understand financial information and be able to interact with accountants, controllers, and financial managers. You want to talk business!",Business,Unknown,4.8,Coursera,Course,"Financial Accounting, Accounting, Financial Statement, Balance Sheet","Business, Management, Marketing, Entrepreneurship",accounting principles of financial accounting financial accounting is often called the language of business it is the language that managers use to communicate the firm s financial and economic information to external parties such as shareholders and creditors. nobody working in business can afford financial illiteracy. whether you run your own business work as a manager or are just starting your career you want to understand financial information and be able to interact with accountants controllers and financial managers. you want to talk business business unknown coursera course financial accounting accounting financial statement balance sheet business management marketing entrepreneurship
Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success,"Learn How to Maximize Your Potential. Define Success, Communicate Effectively, and Use Influence to Accomplish Personal and Career Goals",Personal Development,Unknown,4.7,Coursera,Specialization,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception","Personal Development, Career Development",achieving personal and professional success specialization learn how to maximize your potential. define success communicate effectively and use influence to accomplish personal and career goals personal development unknown coursera specialization goal setting happiness personality development personal development communication negotiation deception personal development career development
Acing the Product Management Interview,https://www.coursera.org/learn/acing-product-management-interviews?specialization=real-world-product-management,"Prepare to impress in your product management interviews by taking this course. You'll learn tips to showcase your skills and PM knowledge directly from the experts who hire and promote top PMs, and practice for your interview using real PM interview questions asked by companies including Meta, Microsoft, Google, and Amazon!",Computer Science,Unknown,4.7,Coursera,Course,"Estimation Interview, Data Analysis Interview, Strategy Interview, Behavioral Interview, Product Design Interview","Computer Science, Software Engineering, Information Technology",acing the product management interview prepare to impress in your product management interviews by taking this course. you ll learn tips to showcase your skills and pm knowledge directly from the experts who hire and promote top pms and practice for your interview using real pm interview questions asked by companies including meta microsoft google and amazon computer science unknown coursera course estimation interview data analysis interview strategy interview behavioral interview product design interview computer science software engineering information technology
Acupressure,https://www.coursera.org/learn/acupressure?specialization=integrative-nursing,This course provides an overview of the basic principles and applications of acupressure for patient symptom management and self-care.,Health,Unknown,4.6,Coursera,Course,"integrative healthcare, wellbeing, patient-centered care, improved symptom management, evidence-based practice","Health Sciences, Medicine, Nursing",acupressure this course provides an overview of the basic principles and applications of acupressure for patient symptom management and self-care. health unknown coursera course integrative healthcare wellbeing patient-centered care improved symptom management evidence-based practice health sciences medicine nursing
